Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2020","2020","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2020","2020","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2020","2020","1000 ha","7829","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2020","2020","1000 ha","3834","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","3995","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2020","2020","1000 ha","222","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","30262","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2020","2020","1000 ha","30262","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6602","Agriculture","2020","2020","1000 ha","1167.345","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1165.555","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2020","2020","1000 ha","687.555","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6621","Arable land","2020","2020","1000 ha","599.6","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6630","Temporary crops","2020","2020","1000 ha","196.6","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","225","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","178","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6650","Permanent crops","2020","2020","1000 ha","87.955","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","478","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6649","Farm buildings and Farmyards","2020","2020","1000 ha","1.79","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6602","Agriculture","2020","2020","1000 ha","41288","I","Value imputed by a receiving agency",""
