Cropland_Dependency_Risk,Crop_Diversity_Score,Agri_Importance,Investment_Score,Longitude,Latitude,Predicted_Score,Residual
0.21,5.9,0.073,46.2,67.71,33.9391,53.193280809841454,-6.993280809841451
0.59,10.0,0.002,59.9,20.1683,41.1533,60.25108915877991,-0.35108915877991365
0.205,6.3,0.079,45.2,1.6596,28.0339,54.30109547664129,-9.101095476641284
0.123,5.4,0.088,45.8,17.8739,-11.2027,52.54645329659091,-6.746453296590914
0.365,7.0,0.226,63.8,-63.6167,-38.4161,60.415324616087254,3.384675383912743
0.301,7.5,0.003,60.0,45.0382,40.0691,54.65586284001739,5.344137159982608
0.087,5.2,0.682,68.4,133.7751,-25.2744,70.57340714833065,-2.1734071483306394
0.535,8.7,0.005,53.3,14.5501,47.5162,57.379607634050174,-4.079607634050177
0.493,9.8,0.009,67.2,47.5769,40.1431,60.04897064545063,7.151029354549372
0.936,10.0,0.018,50.8,90.3563,23.685,60.60671184976856,-9.806711849768561
0.696,10.0,0.016,51.3,27.9534,53.7098,60.64296834852209,-9.342968348522092
0.651,10.0,0.003,67.9,4.4699,50.5039,60.257163454625505,7.6428365453745
0.143,5.2,0.074,62.0,-63.5887,-16.2902,51.6432973125234,10.356702687476599
0.268,6.0,0.454,69.5,-51.9253,-14.235,65.24734195029492,4.252658049705076
0.722,10.0,0.01,62.0,25.4858,42.7339,60.44571922214062,1.5542807778593826
0.58,9.9,0.027,68.6,-1.5616,12.2383,60.80282794191535,7.797172058084641
0.767,10.0,0.004,51.0,29.9189,-3.3731,60.24067605577228,-9.240676055772283
0.752,10.0,0.012,69.4,104.991,12.5657,60.49560737587346,8.904392624126544
0.797,10.0,0.019,68.4,12.3547,7.3697,60.694828671791655,7.705171328208351
0.672,10.0,0.11,62.4,-106.3468,56.1304,63.57595648665828,-1.1759564866582792
0.465,9.1,0.011,54.1,20.9394,6.6111,58.514086121857694,-4.414086121857693
0.106,5.5,0.097,47.7,18.7322,15.4542,53.06309730970034,-5.363097309700336
0.173,5.4,0.021,48.5,-71.543,-35.6751,50.44242582095444,-1.9424258209544405
0.247,6.1,1.0,83.9,104.1954,35.8617,82.46485883299442,1.4351411670055825
0.106,5.9,0.085,58.3,-74.2973,4.5709,53.60911011941055,4.690889880589445
0.06,4.6,0.02,46.0,15.8277,-0.228,48.61932257058099,-2.619322570580991
